,Date,Open,High,Low,Close
569,2021-08-12,0.9,0.9001,0.7311,0.9001
568,2021-08-11,0.8399,0.84,0.8301,0.8301
567,2021-08-10,0.8399,0.84,0.833,0.833
566,2021-08-09,0.83,0.83,0.7015,0.8213
565,2021-08-06,0.7701,0.8001,0.7701,0.8001
564,2021-08-05,0.7958,0.8127,0.7958,0.7958
563,2021-08-04,0.79,0.79,0.79,0.79
562,2021-08-03,0.7101,0.7101,0.7101,0.7101
561,2021-08-02,0.7101,0.7101,0.7101,0.7101
560,2021-07-30,0.7101,0.7101,0.7101,0.7101
559,2021-07-29,0.7101,0.7102,0.7101,0.7102
558,2021-07-28,0.71,0.71,0.71,0.71
557,2021-07-27,0.7015,0.71,0.7015,0.71
556,2021-07-26,0.7017,0.7017,0.7016,0.7016
555,2021-07-23,0.72,0.7228,0.7015,0.7015
554,2021-07-22,0.7015,0.7015,0.7015,0.7015
553,2021-07-21,0.7015,0.7015,0.7015,0.7015
552,2021-07-20,0.71,0.71,0.7015,0.7015
551,2021-07-19,0.72,0.7799,0.72,0.7799
550,2021-07-16,0.7015,0.7998,0.7015,0.78
549,2021-07-15,0.77,0.77,0.77,0.77
548,2021-07-14,0.79,0.95,0.7398,0.7503
547,2021-07-13,0.8,0.8,0.7899,0.7899
546,2021-07-12,0.755,0.755,0.755,0.755
545,2021-07-09,0.7015,0.7899,0.7015,0.755
544,2021-07-08,0.7001,0.7016,0.7,0.7
543,2021-07-07,0.75,0.7999,0.75,0.771
542,2021-07-06,0.85,0.85,0.71,0.71
541,2021-07-02,0.751,0.7706,0.7,0.77
540,2021-07-01,0.76,0.77,0.7001,0.7001
539,2021-06-30,0.7499,0.75,0.6999,0.7487
538,2021-06-29,0.72,0.7598,0.72,0.7498
537,2021-06-28,0.6697,0.76,0.65,0.7199
536,2021-06-25,0.66,0.67,0.65,0.6504
535,2021-06-24,0.7,0.7,0.687,0.687
534,2021-06-23,0.7899,0.7899,0.66,0.75
533,2021-06-22,0.7202,0.85,0.7202,0.8
532,2021-06-21,0.6751,0.6751,0.6601,0.6601
531,2021-06-18,0.6801,0.6801,0.6801,0.6801
530,2021-06-17,0.7099,0.7099,0.68,0.6801
529,2021-06-16,0.6705,0.6705,0.6705,0.6705
528,2021-06-15,0.6705,0.6705,0.6705,0.6705
527,2021-06-14,0.7399,0.7399,0.7,0.7
526,2021-06-11,0.7001,0.7002,0.7001,0.7002
525,2021-06-10,0.7,0.7,0.7,0.7
